image,text,confidence,position,label
6.JPG,MOMI,0.9829587936401367,108.5,ITEM
6.JPG,& Toy's,0.551514356277151,117.5,ITEM
6.JPG,CREPERTE,0.7322664905283319,171.5,ITEM
6.JPG,LipRema3g,0.25991042037307477,329.0,ITEM
6.JPG,Mal 1,0.3902096541711864,307.5,ITEM
6.JPG,Kemang,0.9971395536178898,317.0,ITEM
6.JPG,L,0.9975378190652897,318.0,OTHER
6.JPG,VI,0.9303473823324193,349.5,OTHER
6.JPG,No.,0.3805040419101715,353.5,OTHER
6.JPG,6,0.9999134559283362,347.0,OTHER
6.JPG,momiantoys_,0.8378677521913342,389.5,ITEM
6.JPG,ind,0.9884232740697377,392.0,OTHER
6.JPG,(inst,0.9918789176044618,394.0,ITEM
6.JPG,@indmomi,0.8293503724936185,427.0,ITEM
6.JPG,Tiwitter),0.5307501722792926,429.5,ITEM
6.JPG,Check: 3850,0.8608631729859971,470.0,ITEM
6.JPG,Pax: 1,0.6779565669937172,505.0,ITEM
6.JPG,OP : Gunawan,0.4801132588618466,512.5,ITEM
6.JPG,Gunawan,0.9999932414611804,514.0,ITEM
6.JPG,POS Title: Cashier,0.8790905979699611,549.0,ITEM
6.JPG,Rcpt#:A15000001363,0.6386646997882022,590.0,ITEM
6.JPG,26/01/2015 16:13,0.8483012438469476,594.5,DATE
6.JPG,1 Woman,0.9787229752833416,674.5,ITEM
6.JPG,2,0.999999880790714,715.0,OTHER
6.JPG,Ham Cheese,0.9771775114849496,716.5,ITEM
6.JPG,"74,000",0.9599175379821634,717.0,PRICE
6.JPG,Ice Java,0.9481648301975502,758.0,ITEM
6.JPG,Tea,0.9999814171339712,759.0,OTHER
6.JPG,"16, 000",0.7538733626520234,761.0,ITEM
6.JPG,Minera],0.5993224418800835,801.0,ITEM
6.JPG,Water,0.8096970069209148,802.0,ITEM
6.JPG,"13,000",0.8256290259045689,802.0,PRICE
6.JPG,Biack & White,0.9254704851156467,845.0,ITEM
6.JPG,"72, 000",0.6661509796942766,847.0,ITEM
6.JPG,SUBTOTAL,0.9990781566867457,935.0,TOTAL_LABEL
6.JPG,"175,000",0.9904651790699102,933.0,PRICE
6.JPG,TOTAL,0.9088999747420848,1026.5,TOTAL_LABEL
6.JPG,CASH,0.9999558925628662,1075.0,ITEM
6.JPG,"200, 000",0.8231249670876662,1072.0,ITEM
6.JPG,Change,0.9976109284168184,1124.0,ITEM
6.JPG,"25,000",0.9917176215243033,1124.0,PRICE
6.JPG,Closed Bill,0.7915003549732385,1222.0,ITEM
6.JPG,~~-26/01/2015 16:14,0.44372881515333495,1274.0,DATE
6.JPG,Thank_you fortasting,0.8188059289822099,1332.5,ITEM
6.JPG,our,0.9597626283180543,1389.0,OTHER
6.JPG,'Meltingly Crepe',0.932436717326589,1389.0,ITEM
5.jpg,WHOLE FOODS,0.9994129021692223,245.0,STORE
5.jpg,MARKET,0.9941152323104756,415.0,ITEM
5.jpg,Sunnyvale,0.9068803125575469,675.0,ITEM
5.jpg,SVL 408-419-1290,0.8062372954920033,660.0,ITEM
5.jpg,150,0.5455654263496399,744.5,OTHER
5.jpg,E,0.9979056368473636,748.0,OTHER
5.jpg,Mc Kinley Ave,0.9773923960240224,734.0,ITEM
5.jpg,CA 94086,0.7727808447120528,807.5,ITEM
5.jpg,KTTL,0.970735490322113,886.0,ITEM
5.jpg,SEA,0.9998562937072829,889.0,OTHER
5.jpg,SALT,0.9997099041938782,894.0,ITEM
5.jpg,POT,0.9789033054953866,897.5,OTHER
5.jpg,CHP,0.9998910500042815,894.0,OTHER
5.jpg,$1.29,0.9021993854535092,880.0,PRICE
5.jpg,F,0.9971555461953727,895.5,OTHER
5.jpg,BRAIDED BRIOCHE,0.9564347568620447,966.0,ITEM
5.jpg,$6.99,0.9194051467691247,952.0,PRICE
5.jpg,CHEF,0.9995755724160331,1039.0,ITEM
5.jpg,PLATE MEAL $10,0.7609460285813286,1050.0,ITEM
5.jpg,2,1.0,1116.0,OTHER
5.jpg,$10.00,0.9443627833175535,1127.5,PRICE
5.jpg,ea,0.9999827198358404,1124.0,OTHER
5.jpg,820.00,0.6663210616932068,1106.5,PRICE
5.jpg,Subtotal,0.7860535011676739,1201.0,TOTAL_LABEL
5.jpg,$28.28,0.7027241310347419,1188.5,PRICE
5.jpg,Net Sales:,0.9912435100929656,1280.0,ITEM
5.jpg,Total,0.6352194600250017,1361.5,TOTAL_LABEL
5.jpg,Sold Itenis:,0.9592017662296621,1437.5,ITEM
5.jpg,4,0.9999954700521272,1422.0,OTHER
5.jpg,Paid:,0.9999036646411776,1510.0,ITEM
5.jpg,RETURNS :,0.7057164310665827,1902.0,ITEM
5.jpg,We,0.9997798319629005,1904.0,OTHER
5.jpg,are,0.9999953198664192,1910.0,OTHER
5.jpg,now,0.9999466604161458,1910.0,OTHER
5.jpg,accepting,0.9999907413904144,1909.5,ITEM
5.jpg,returns,0.9999782825094796,1900.5,ITEM
5.jpg,on,0.9996111753198261,1902.0,OTHER
5.jpg,purchases,0.9999912182297231,1984.5,ITEM
5.jpg,with,0.6523366018428076,1984.0,ITEM
5.jpg,the fol lowing conditions:,0.5667604114919002,1983.0,ITEM
5.jpg,Returns,0.9999961251062139,2063.0,ITEM
5.jpg,wil,0.20911903437663842,2061.0,OTHER
5.jpg,only,0.9986762404441833,2067.5,ITEM
5.jpg,be accepted,0.8825615709753695,2063.5,ITEM
5.jpg,made,0.999994158744812,2140.0,ITEM
5.jpg,or,0.994792185774517,2146.0,OTHER
5.jpg,after,0.9999861921768638,2141.5,ITEM
5.jpg,9/15/2020,0.9999372551930285,2138.5,DATE
5.jpg,AI1,0.59362145847488,2137.0,OTHER
5.jpg,require,0.9996009055310336,2226.0,ITEM
5.jpg,a receipt,0.9696370887233512,2223.5,ITEM
5.jpg,No,0.999824926480321,2217.0,OTHER
5.jpg,items,0.9997735808465628,2219.5,ITEM
5.jpg,purchased after 90 days.,0.8780370005115372,2307.5,ITEM
5.jpg,For,0.9999905020849161,2297.5,OTHER
5.jpg,additional,0.9989040546833031,2299.0,ITEM
5.jpg,information please Visit,0.6101957478527085,2383.5,ITEM
5.jpg,wfm. com/returns_,0.5983687366406966,2381.0,ITEM
5.jpg,Earn 5% Back,0.9222313263191875,2626.5,ITEM
5.jpg,at,0.9999989884757856,2629.5,OTHER
5.jpg,Hhole Foods,0.5391694332990851,2629.5,ITEM
5.jpg,Market,0.9999946466280263,2625.0,ITEM
5.jpg,the,0.9999995182214076,2702.5,OTHER
5.jpg,Amazon,0.9972524836083678,2705.0,ITEM
5.jpg,Prime Rewards,0.9979868801666992,2707.0,ITEM
5.jpg,Visa.,0.9733181700673582,2702.5,ITEM
5.jpg,Learn,0.9999987205115435,2771.5,ITEM
5.jpg,more,0.5582478072594002,2781.0,ITEM
5.jpg,amazon . COMV/amlazonvisa,0.32941004980339994,2786.5,ITEM
5.jpg,HOw WAS YOUR SHOPPING EXPERTENCE?,0.7398357636531567,3024.0,ITEM
5.jpg,Go,0.9999655240519858,3104.0,OTHER
5.jpg,to: http: / /www.wfm. COm/feedback,0.4101773946181008,3108.5,ITEM
5.jpg,ENTER FOR,0.857638477900772,3187.0,ITEM
5.jpg,A CHANCE,0.7876578225148345,3184.0,ITEM
5.jpg,To WiN,0.6350525007968587,3184.0,ITEM
5.jpg,A $250 GIFT,0.8512220146936823,3187.0,ITEM
5.jpg,CARD,0.9999021291732788,3187.5,ITEM
5.jpg,908 6387 02/10/2021,0.7632851050096211,3270.5,DATE
5.jpg,07:10 PM,0.994298335339389,3270.5,ITEM
5.jpg,63011070790806387021020210,0.6180116244598579,3751.0,OTHER
5.jpg,6KTHQW62ZD,0.5486515357138405,3843.0,ITEM
5.jpg,Thanks,0.9995881122087276,3998.0,ITEM
5.jpg,for,0.9924763560370049,4002.5,OTHER
5.jpg,chonnino,0.6063778789526659,4004.5,ITEM
5.jpg,Whole,0.8652350934405297,4004.5,ITEM
5.jpg,Foods,0.9732272493732814,4004.5,ITEM
8.jpg,Thornton,0.9883813420468431,174.0,ITEM
8.jpg,#629,0.9999470114707947,166.0,ITEM
8.jpg,16375 N. Washington St _,0.5225965520872518,188.0,ITEM
8.jpg,"Thornton, CO 80023",0.7353661607762108,208.0,ITEM
8.jpg,2X Member,0.9870858778906819,255.0,ITEM
8.jpg,23.99 E,0.9865354935214434,262.0,PRICE
8.jpg,673919 FF BS,0.3026558038785022,272.0,ITEM
8.jpg,49,0.9246313715269071,280.0,OTHER
8.jpg,633561 KS DICED TOM,0.8936907957143884,290.0,ITEM
8.jpg,967596 JACKORGSALSA,0.990396480730344,310.0,ITEM
8.jpg,2.97 E,0.8833444089398843,302.5,PRICE
8.jpg,3 @ 4.29,0.9995342348036396,336.0,PRICE
8.jpg,12.87 E,0.9910976748096604,344.0,PRICE
8.jpg,878137 18CT EGGS,0.6640498844834613,353.0,ITEM
8.jpg,77053 GRAPE TOMATO,0.7774677274922813,373.0,ITEM
8.jpg,6.29,0.7398826771828836,365.0,PRICE
8.jpg,404609 ECO HALF PAN,0.6547574108900172,394.0,ITEM
8.jpg,6.49,0.9793596401078427,386.0,PRICE
8.jpg,55992 GRND TURKEY,0.6836041675290035,415.0,ITEM
8.jpg,18. 47 E,0.6479410339659996,408.0,ITEM
8.jpg,263423 CHPD ONION,0.972147019312109,436.0,ITEM
8.jpg,3.59 E,0.9909143538836379,428.0,PRICE
8.jpg,22101 MonT JaCK 2#,0.2762711158819879,457.0,ITEM
8.jpg,4.45 E,0.9845625738844432,450.0,PRICE
8.jpg,SUBTOTAL,0.9866237904493038,480.0,TOTAL_LABEL
8.jpg,85.61,0.9998668788526572,472.0,PRICE
8.jpg,TaX,0.5569401026002909,501.0,TAX
8.jpg,3.52,0.9997811317443848,492.0,PRICE
8.jpg,xxx* TOTAL,0.5340365105863456,522.0,TOTAL_LABEL
8.jpg,Check /Member Prntd,0.8616034062946626,540.5,ITEM
8.jpg,89.13,0.9998282802593332,534.0,PRICE
8.jpg,CHANGE,0.7057423244905671,562.0,ITEM
8.jpg,0.00,0.9959652423858643,555.0,ITEM
8.jpg,8.507 TAX,0.5664199196903805,607.0,TAX
8.jpg,0.55,0.9969226121902466,600.0,PRICE
8.jpg,E 3.757 TaX,0.5943861475289144,630.0,TAX
8.jpg,2.97,0.9338404945887704,622.0,PRICE
8.jpg,TOTAL TaX,0.6060025120638468,652.5,TOTAL_LABEL
8.jpg,TOTAL NUMbER OF ITEMS SOLD,0.6069461467586558,672.0,TOTAL_LABEL
8.jpg,11,0.7772081851121437,667.0,OTHER
8.jpg,172 14,0.999535400667401,690.0,ITEM
8.jpg,OPt ; 14 Name: PEPPER,0.5436487290474448,716.0,ITEM
8.jpg,Thank,0.9384484271989585,737.0,ITEM
